# ecmaster golden structure v1 (tools/golden/pcap2struct.py)
# requests=2870 with_reply=2870 process_data_frames=2257
[CONFIG]
FPRD 1008:0502/2 w1
FPWR 1008:0502/6 w1
FPRD 1008:0008/2 w1
FPRD 1008:0110/2 w1
FPRD 1008:0007/2 w1
FPRD 1008:0130/6 w1
FPRD 1008:0502/2 w1
FPRD 1008:0508/4 w1
FPWR 1008:0800/16 w1
FPWR 1008:0500/1 w1
FPWR 1008:0120/2 w1
FPRD 1001:0130/6 w1
FPRD 1001:080d/1 w1
FPWR 1001:1000/128 w1
FPRD 1001:080d/1 w1
FPRD 1001:1080/128 w1
FPRD 1002:0130/6 w1
FPRD 1002:080d/1 w1
FPWR 1002:1000/128 w1
FPRD 1002:080d/1 w1
FPRD 1002:1080/128 w1
FPRD 1003:0130/6 w1
FPRD 1003:080d/1 w1
FPWR 1003:1000/128 w1
FPRD 1003:080d/1 w1
FPRD 1003:1080/128 w1
FPRD 1004:0130/6 w1
FPRD 1004:080d/1 w1
FPWR 1004:1000/128 w1
FPRD 1004:080d/1 w1
FPRD 1004:1080/128 w1
FPWR 1001:0500/1 w1
FPRD 1001:0502/2 w1
FPWR 1001:0502/6 w1
FPRD 1001:0502/2 w1
FPRD 1001:0508/4 w1
  x+
FPWR 1001:0500/1 w1
FPWR 1001:0810/8 w1
FPWR 1001:0818/8 w1
FPWR 1002:0810/8 w1
FPWR 1002:0818/8 w1
FPWR 1003:0810/8 w1
FPWR 1003:0818/8 w1
FPWR 1004:0810/8 w1
FPWR 1004:0818/8 w1
FPWR 1001:0600/16 w1
FPWR 1002:0600/16 w1
FPWR 1003:0600/16 w1
FPWR 1004:0600/16 w1
FPWR 1001:0610/16 w1
FPWR 1002:0610/16 w1
FPWR 1003:0610/16 w1
FPWR 1004:0610/16 w1
FPWR 1001:0620/16 w1
FPWR 1002:0620/16 w1
FPWR 1003:0620/16 w1
FPWR 1004:0620/16 w1
FPWR 1001:0120/2 w1
FPWR 1002:0120/2 w1
FPWR 1003:0120/2 w1
FPWR 1004:0120/2 w1
FPRD 1005:0130/6 w1
FPRD 1005:080d/1 w1
FPWR 1005:1000/128 w1
FPRD 1005:080d/1 w1
FPRD 1005:1080/128 w1
FPRD 1006:0130/6 w1
FPRD 1006:080d/1 w1
FPWR 1006:1000/128 w1
FPRD 1006:080d/1 w1
FPRD 1006:1080/128 w1
FPRD 1007:0130/6 w1
FPRD 1007:080d/1 w1
FPWR 1007:1000/128 w1
FPRD 1007:080d/1 w1
FPRD 1007:1080/128 w1
FPRD 1008:0130/6 w1
FPRD 1008:080d/1 w1
FPWR 1008:1000/128 w1
FPRD 1008:080d/1 w1
FPRD 1008:1080/128 w1
FPWR 1005:0810/8 w1
FPWR 1005:0818/8 w1
FPWR 1006:0810/8 w1
FPWR 1006:0818/8 w1
FPWR 1007:0810/8 w1
FPWR 1007:0818/8 w1
FPWR 1008:0810/8 w1
FPWR 1008:0818/8 w1
FPWR 1005:0600/16 w1
FPWR 1006:0600/16 w1
FPWR 1007:0600/16 w1
FPWR 1008:0600/16 w1
FPWR 1005:0610/16 w1
FPWR 1006:0610/16 w1
FPWR 1007:0610/16 w1
FPWR 1008:0610/16 w1
FPWR 1005:0620/16 w1
FPWR 1006:0620/16 w1
FPWR 1007:0620/16 w1
FPWR 1008:0620/16 w1
FPWR 1005:0120/2 w1
FPWR 1006:0120/2 w1
FPWR 1007:0120/2 w1
FPWR 1008:0120/2 w1
BWR *:0120/2 w8
BRD *:0130/2 w8
FPWR 1001:0400/2 w1
FPWR 1001:0420/2 w1
FPWR 1002:0400/2 w1
FPWR 1002:0420/2 w1
FPWR 1003:0400/2 w1
FPWR 1003:0420/2 w1
FPWR 1004:0400/2 w1
FPWR 1004:0420/2 w1
FPWR 1005:0400/2 w1
FPWR 1005:0420/2 w1
FPWR 1006:0400/2 w1
FPWR 1006:0420/2 w1
FPWR 1007:0400/2 w1
FPWR 1007:0420/2 w1
FPWR 1008:0400/2 w1
FPWR 1008:0420/2 w1
BWR *:0900/4 w8
FPRD 1001:0900/4 w1
FPRD 1001:0918/8 w1
FPWR 1001:0920/8 w1
FPRD 1001:0904/4 w1
FPRD 1001:0908/4 w1
FPRD 1001:090c/4 w1
FPRD 1002:0900/4 w1
FPRD 1002:0918/8 w1
FPWR 1002:0920/8 w1
FPRD 1002:0904/4 w1
FPRD 1002:0908/4 w1
FPRD 1002:090c/4 w1
FPWR 1002:0928/4 w1
FPRD 1003:0900/4 w1
FPRD 1003:0918/8 w1
FPWR 1003:0920/8 w1
FPRD 1003:0904/4 w1
FPRD 1003:0908/4 w1
FPRD 1003:090c/4 w1
FPWR 1003:0928/4 w1
FPRD 1004:0900/4 w1
FPRD 1004:0918/8 w1
FPWR 1004:0920/8 w1
FPRD 1004:0904/4 w1
FPRD 1004:0908/4 w1
FPRD 1004:090c/4 w1
FPWR 1004:0928/4 w1
FPRD 1005:0900/4 w1
FPRD 1005:0918/8 w1
FPWR 1005:0920/8 w1
FPRD 1005:0904/4 w1
FPRD 1005:0908/4 w1
FPRD 1005:090c/4 w1
FPWR 1005:0928/4 w1
FPRD 1006:0900/4 w1
FPRD 1006:0918/8 w1
FPWR 1006:0920/8 w1
FPRD 1006:0904/4 w1
FPRD 1006:0908/4 w1
FPRD 1006:090c/4 w1
FPWR 1006:0928/4 w1
FPRD 1007:0900/4 w1
FPRD 1007:0918/8 w1
FPWR 1007:0920/8 w1
FPRD 1007:0904/4 w1
FPRD 1007:0908/4 w1
FPRD 1007:090c/4 w1
FPWR 1007:0928/4 w1
FPRD 1008:0900/4 w1
FPRD 1008:0918/8 w1
FPWR 1008:0920/8 w1
FPRD 1008:0904/4 w1
FPRD 1008:0908/4 w1
FPRD 1008:090c/4 w1
FPWR 1008:0928/4 w1
FPWR 1001:0981/1 w1
FPWR 1001:0980/1 w1
FPRD 1001:0910/8 w1
FPWR 1001:0990/8 w1
FPWR 1001:09a0/4 w1
FPWR 1001:0981/1 w1
FPWR 1002:0981/1 w1
FPWR 1002:0980/1 w1
FPRD 1002:0910/8 w1
FPWR 1002:0990/8 w1
FPWR 1002:09a0/4 w1
FPWR 1002:0981/1 w1
FPWR 1003:0981/1 w1
FPWR 1003:0980/1 w1
FPRD 1003:0910/8 w1
FPWR 1003:0990/8 w1
FPWR 1003:09a0/4 w1
FPWR 1003:0981/1 w1
FPWR 1004:0981/1 w1
FPWR 1004:0980/1 w1
FPRD 1004:0910/8 w1
FPWR 1004:0990/8 w1
FPWR 1004:09a0/4 w1
FPWR 1004:0981/1 w1
FPRD 1001:0910/136 w1
BWR *:0120/2 w8
BRD *:0130/2 w8
[CYCLIC]
BRD *:0130/2 w8
BRD *:0130/2 w8 | FPRW 1001:0300/20 w3 | FPRD 1001:0110/2 w1 | FPRD 1001:0130/6 w1 | FPRW 1002:0300/20 w3 | FPRD 1002:0110/2 w1 | FPRD 1002:0130/6 w1 | FPRW 1003:0300/20 w3 | FPRD 1003:0110/2 w1 | FPRD 1003:0130/6 w1 | FPRW 1004:0300/20 w3 | FPRD 1004:0110/2 w1 | FPRD 1004:0130/6 w1 | FPRW 1005:0300/20 w3 | FPRD 1005:0110/2 w1 | FPRD 1005:0130/6 w1 | FPRW 1006:0300/20 w3 | FPRD 1006:0110/2 w1 | FPRD 1006:0130/6 w1 | FPRW 1007:0300/20 w3 | FPRD 1007:0110/2 w1 | FPRD 1007:0130/6 w1 | FPRW 1008:0300/20 w3 | FPRD 1008:0110/2 w1 | FPRD 1008:0130/6 w1
BWR *:0120/2 w8
LRW 00010000/36 w12 | FRMW 1001:0910/8 w8
LRW 00020000/36 w12
[SHUTDOWN]
BWR *:0120/2 w8
BRD *:0130/2 w8
  x+
